RED,IR
109553,77373
109509,77363
109543,77355
109571,77315
109473,77322
109495,77335
109413,77386
109496,77337
109492,77367
109481,77342
109573,77391
109484,77376
109403,77331
109441,77348
109413,77303
109414,77350
109465,77388
109476,77359
109477,77387
109479,77390
109565,77391
109397,77352
109455,77340
109439,77408
109445,77415
109458,77360
109488,77398
109495,77408
109521,77409
109543,77366
109424,77375
109463,77424
109442,77333
109437,77398
109468,77408
109517,77372
109512,77407
109563,77424
109427,77360
109395,77353
109473,77400
109383,77399
109429,77404
109437,77412
109474,77445
109502,77423
109569,77414
109423,77376
109440,77455
109447,77382
109401,77410
109473,77434
109510,77438
109466,77439
109518,77461
109590,77427
109361,77364
109439,77457
109406,77433
109421,77412
109401,77428
109531,77440
109536,77452
109533,77454
109503,77428
109375,77402
109447,77445
109412,77471
109450,77451
109430,77466
109429,77480
109514,77460
109540,77478
109493,77433
109397,77478
109440,77468
109394,77460
109350,77441
109450,77467
109516,77490
109523,77507
109544,77523
109405,77482
109382,77442
109438,77452
109346,77457
109410,77507
109478,77474
109498,77500
109491,77502
109539,77535
109403,77436
109416,77481
109391,77465
109380,77491
109386,77490
109450,77486
109450,77489
109473,77527
109482,77445
109351,77476
109413,77462
109345,77448
109302,77469
109388,77474
109373,77502
109390,77485
109433,77548
109392,77484
109297,77454
109283,77471
109324,77479
109352,77464
109347,77479
109354,77491
109391,77537
109446,77535
109370,77482
109232,77475
109359,77497
109286,77487
109280,77494
109344,77475
109351,77486
109359,77506
109399,77542
109218,77506
109323,77505
109322,77472
109222,77483
109289,77482
109306,77547
109320,77522
109330,77541
109326,77484
109208,77505
109308,77478
109234,77496
109265,77479
109255,77574
109287,77486
109309,77515
109296,77562
109294,77518
109223,77525
109259,77541
109181,77458
109201,77551
109237,77541
109256,77542
109254,77544
109314,77538
109233,77523
109189,77512
109195,77473
109177,77553
109257,77549
109243,77554
109234,77520
109309,77564
109282,77498
109150,77509
109209,77488
109178,77509
109179,77509
109224,77547
109215,77558
109295,77552
109309,77559
109177,77516
109184,77522
109198,77476
109140,77498
109178,77586
109198,77542
109241,77561
109217,77561
109237,77533
109111,77520
109161,77484
109125,77487
109127,77578
109173,77547
109191,77534
109187,77590
109257,77588
109130,77534
109141,77493
109151,77513
109106,77538
109112,77550
109163,77579
109173,77574
109222,77587
109276,77569
109118,77510
109149,77519
109161,77574
109092,77559
109153,77570
109142,77561
109216,77583
109259,77644
109280,77563
109109,77588
109147,77585
109156,77549
109110,77588
109157,77590
109274,77608
109254,77611
109289,77658
109210,77620
109143,77576
109201,77587
109139,77574
109177,77602
109257,77625
109232,77605
109267,77632
109304,77650
109183,77527
109138,77627
109175,77589
109123,77580
109158,77599
109235,77644
109206,77629
109262,77669
109275,77615
109123,77643
109141,77607
109144,77592
109099,77586
109197,77657
109184,77658
109225,77608
109276,77707
109123,77642
109146,77624
109133,77612
109130,77631
109204,77673
109206,77665
109220,77669
109270,77700
109153,77609
109106,77660
109135,77640
109135,77647
109155,77660
109188,77668
109215,77659
109196,77694
109160,77642
109071,77675
109088,77678
109077,77647
109121,77667
109152,77663
109140,77675
109168,77665
109122,77636
109020,77683
109069,77647
108991,77624
108995,77639
109097,77657
109075,77687
109094,77695
109122,77678
108964,77639
108992,77648
108952,77685
108999,77672
108998,77668
109024,77666
109030,77668
109094,77694
108959,77659
108957,77680
108974,77637
108958,77676
108965,77686
109022,77675
109012,77700
109084,77690
109005,77723
108937,77705
108975,77699
108930,77676
109003,77709
109050,77703
109053,77709
109076,77737
109113,77730
108941,77704
108998,77705
108904,77700
109008,77721
109058,77741
109079,77750
109107,77766
109108,77751
108954,77673
108989,77717
108955,77696
108955,77746
108997,77718
109057,77727
109106,77760
109109,77737
109022,77726
108955,77704
109017,77707
108954,77695
108999,77726
109043,77726
109098,77735
109102,77764
109151,77773
108959,77707
109056,77761
109020,77722
109006,77757
109018,77800
109106,77769
109129,77813
109182,77785
109118,77771
109033,77822
109111,77771
109066,77768
109029,77793
109130,77799
109145,77826
109177,77820
109222,77812
109051,77811
109080,77799
109073,77757
109040,77799
109122,77793
109145,77800
109161,77831
109230,77835
109078,77728
109031,77823
109111,77786
109040,77805
109054,77811
109176,77798
109196,77841
109192,77862
109229,77831
109071,77741
109135,77839
109112,77776
109079,77823
109141,77843
109216,77859
109211,77893
109237,77910
109174,77807
109093,77832
109159,77841
109127,77854
109096,77868
109204,77863
109197,77866
109271,77907
109261,77837
109129,77847
109178,77870
109152,77863
109099,77897
109200,77877
109236,77887
109261,77951
109286,77839
109106,77873
109163,77879
109107,77858
109164,77870
109196,77884
109219,77871
109271,77947
109302,77869
109150,77884
109145,77852
108983,77781
109100,77825
109081,77790
109015,77717
109087,77762
109064,77772
108903,77726
108924,77704
108809,77662
108891,77692
109010,77734
109012,77746
109086,77739
109038,77731
108950,77759
109084,77739
108962,77729
108980,77770
109040,77762
109062,77798
109120,77760
108983,77754
108962,77781
109069,77745
108993,77758
108995,77791
109049,77793
109080,77837
109125,77830
108973,77761
108959,77792
109021,77788
109005,77789
109049,77789
109077,77811
109108,77851
109141,77773
108948,77767
108892,77755
108946,77738
108900,77745
108979,77754
108991,77754
109002,77709
108990,77679
108831,77736
108843,77649
108646,77544
108639,77526
108576,77508
108614,77544
108650,77547
108626,77466
108498,77539
108535,77493
108534,77525
108564,77588
108629,77585
108640,77605
108615,77534
108579,77448
108380,77445
108307,77376
108287,77365
108251,77398
108362,77439
108396,77444
108420,77427
