Red,IR
252725,201955
252971,201985
252974,201447
251061,201335
251593,201494
251942,201449
251768,201422
252153,201521
252709,201609
252869,201635
253100,201393
251410,201018
251703,201204
252227,201246
251935,201188
252297,201274
252801,201381
252988,201410
253288,201470
252468,200809
251486,200853
251751,200921
251900,200878
251986,200934
252581,201081
252878,201121
253123,201152
253318,201131
251354,200552
251621,200632
252026,200693
251958,200661
252352,200834
252859,200955
253347,201043
253540,201073
253038,200450
251605,200437
252214,200604
252523,200573
252435,200626
252870,200740
253464,200861
253662,200881
253129,200305
251866,200314
252697,200604
253099,200554
253008,200640
253539,200787
254079,200864
254276,200720
252292,200286
252768,200477
253632,200495
253216,200457
253621,200574
253941,200610
253107,199977
252090,199986
252752,200161
252880,200046
252728,200076
253015,200125
253348,200107
252381,199636
251878,199659
252106,199706
252123,199634
252219,199680
252590,199731
252737,199755
251914,199291
251426,199303
251669,199355
251795,199340
251865,199381
252194,199458
252612,199572
252822,199653
251827,199160
251429,199225
251799,199284
251916,199247
252066,199349
252465,199458
252967,199551
253210,199613
253676,199482
251710,198987
251781,199122
252109,199177
252069,199176
252391,199284
253000,199397
253289,199490
253654,199552
253335,199008
251884,199046
252465,199228
252706,199167
252821,199281
253515,199427
253848,199496
254133,199526
253295,198903
252106,198965
252673,199103
252640,198987
252731,199060
253328,199220
253595,199246
253839,198974
252014,198678
252359,198884
252930,198937
252725,198885
253040,198979
253727,199144
254037,199204
252366,198578
252212,198685
253022,198836
252873,198724
253006,198873
253498,198984
253931,199061
253267,198471
252018,198498
252401,198629
252688,198598
252751,198700
253531,198917
253926,198986
254294,199065
254523,198873
251904,198369
252258,198460
252763,198561
252741,198545
253236,198731
253619,198802
253944,198846
254168,198915
253379,198230
251920,198233
252437,198364
252758,198418
252816,198446
253230,198574
253897,198675
254016,198730
254409,198810
253961,198226
252162,198237
252691,198385
253082,198384
253095,198456
253768,198631
254144,198697
254493,198775
254712,198657
252391,198149
252797,198325
253617,198345
253268,198329
253741,198508
254172,198579
254517,198637
253639,198089
252675,198174
253310,198320
253286,198201
253358,198295
254007,198427
254304,198495
252593,197908
252480,198021
253475,198259
253430,198178
253688,198319
254113,198432
254148,198008
252330,197880
252786,198064
253164,198017
252916,198041
253369,198168
254065,198349
253707,197807
252058,197762
252363,197869
252608,197808
252618,197900
253188,197968
253428,198006
253557,197944
252200,197451
251774,197542
251921,197566
252042,197555
252159,197624
252721,197741
253015,197834
253500,197986
253453,197525
251567,197449
251925,197522
252337,197583
252325,197638
253032,197856
253446,197922
253828,198003
253893,197659
251843,197482
252406,197690
253064,197674
252860,197735
253698,197985
254203,198092
254728,198140
253181,197558
252852,197852
253925,198112
254073,198041
254192,198131
254800,198268
255005,198281
252611,197552
252629,197700
253836,197926
253654,197880
254095,198068
254632,198174
255052,198257
255141,197841
252298,197535
252853,197713
253676,197817
253545,197848
254281,198065
254732,198156
255093,198169
253408,197401
252588,197592
253215,197749
253614,197752
253711,197853
254591,198060
254989,198133
255292,198118
253413,197421
253031,197697
253948,197936
254156,197869
254276,197984
255057,198141
255312,198181
254517,197517
252837,197537
254062,197883
254600,197905
254554,197932
254830,197963
255181,198007
254691,197461
252966,197463
253757,197695
254301,197696
254137,197737
254814,197940
255226,198001
253088,197387
253312,197532
254433,197735
254282,197698
254551,197786
254990,197876
254872,197316
252718,197200
253239,197361
253655,197377
253507,197396
253905,197534
254722,197768
255055,197491
252613,197163
253076,197300
253732,197390
253670,197406
254215,197577
254645,197658
255026,197586
253109,196966
252826,197104
253180,197187
253315,197164
253534,197273
254138,197421
254486,197482
254805,197372
252910,196854
252859,197044
253299,197131
253269,197084
253480,197186
254164,197348
254500,197424
254807,197142
252571,196750
252923,196976
253477,197046
253197,196999
253567,197134
254278,197319
254624,197395
254771,196960
252499,196731
253005,196911
253464,196967
253231,196910
253523,196998
254054,197110
254320,197191
253172,196611
252392,196679
253055,196835
253168,196801
253350,196935
253796,197053
254361,197166
254608,197114
252412,196615
252773,196770
253417,196784
253042,196757
253504,196904
253861,196995
254132,196669
252244,196518
252736,196711
253231,196752
253072,196778
253452,196894
254000,197015
254380,197074
252097,196445
252268,196536
252734,196615
252670,196592
253061,196754
253499,196840
253917,196928
253004,196315
251895,196374
252166,196455
252319,196429
252435,196520
253014,196677
253395,196775
253769,196726
252044,196168
251755,196318
252134,196426
252115,196366
252324,196483
253031,196673
253368,196753
253856,196549
251758,196228
252108,196469
252628,196460
252374,196508
252816,196639
253514,196827
253826,196931
252530,196281
251693,196373
252171,196488
252368,196447
252464,196557
252981,196675
253442,196754
253609,196823
252423,196164
251360,196225
251723,196299
251934,196312
252000,196372
252409,196486
253021,196619
253294,196669
253489,196333
251320,196062
251604,196203
251930,196199
251753,196243
252212,196371
252894,196569
253224,196606
252971,196130
251264,196106
252007,196378
252524,196357
252236,196409
252790,196570
253539,196767
253912,196891
251715,196169
251684,196319
252423,196468
252439,196420
252837,196598
253289,196688
253734,196805
253937,196850
251702,196113
251526,196179
251907,196250
251951,196203
252119,196303
252464,196376
252943,196499
253225,196571
252932,196052
251216,195969
251547,196064
251779,196054
251786,196157
252243,196320
252997,196515
253329,196604
253738,196503
251816,196035
251911,196248
252448,196329
252236,196263
252508,196369
253053,196490
253310,196571
253536,196252
251595,196008
252007,196196
252331,196115
251916,196107
252257,196220
252701,196275
252855,196319
251111,195686
250868,195698
251144,195752
251129,195690
251282,195759
251552,195851
251896,195898
252143,195993
250675,195382
250254,195453
250585,195572
250800,195578
251072,195715
251477,195841
252129,196029
252526,196141
253128,196118
251056,195593
251068,195779
251519,195885
251509,195861
251797,195945
252331,196065
252566,196118
252918,196215
252221,195613
250875,195683
251423,195827
251448,195756
251554,195861
252278,196066
252625,196148
253023,196120
251433,195565
251056,195730
251598,195863
251480,195782
251764,195922
252378,196056
252629,196108
252148,195509
250434,195448
250807,195590
251064,195546
250952,195599
251365,195707
251839,195807
252129,195890
252485,195621
250273,195243
250286,195357
250524,195432
250593,195422
250873,195509
251473,195670
251783,195757
252215,195875
252462,195571
249885,195210
250139,195278
250565,195348
250445,195347
250962,195550
251430,195637
251874,195753
252168,195817
252351,195437
250128,195190
250591,195416
251070,195429
250848,195507
251380,195654
252043,195830
252352,195921
252676,195933
251422,195241
250300,195309
250661,195420
250848,195373
250925,195473
251694,195675
252018,195751
252399,195829
252671,195914
250599,195139
250213,195214
250711,195335
250852,195312
251003,195444
251443,195561
252011,195680
252299,195796
252714,195917
252405,195304
250687,195345
251142,195456
251446,195471
251489,195540
252106,195708
252434,195811
252828,195908
253049,195949
252840,195536
251306,195500
252157,195772
252513,195754
252409,195813
252764,195905
253207,196019
253383,196047
253554,195859
251883,195568
252319,195788
252834,195839
252628,195836
252956,195935
253377,196024
253575,196085
253843,196045
252265,195508
251984,195625
252269,195703
252383,195701
252557,195779
253029,195890
253249,195959
253556,196024
253621,195720
251579,195470
251908,195544
252243,195588
252202,195630
252705,195817
253095,195924
253464,195979
253599,196052
253379,195623
251927,195571
252635,195813
252970,195804
252907,195877
253264,195958
253658,196047
253803,196070
253856,195796
252251,195590
252639,195832
253158,195878
253010,195870
253288,195957
253781,196070
253977,196124
253226,195628
252302,195632
252898,195789
252888,195577
252360,195573
252640,195613
252838,195674
252927,195473
251171,195179
251384,195267
251693,195246
251492,195261
251960,195415
252308,195511
252685,195611
252937,195414
250766,195059
251083,195142
251341,195108
