Red,IR
240638,150126
240767,150009
240682,150062
240584,150092
240606,149945
240402,149628
240072,149631
240488,149807
240969,149797
240986,149715
240767,149699
240658,149673
240733,149675
240695,149651
240547,149589
240341,149565
240207,149562
240175,149537
240043,149555
240186,149532
240129,149552
240072,149487
239963,149474
239829,149499
239814,149487
239812,149461
239839,149416
239835,149450
239877,149480
239890,149556
239934,149505
239806,149461
239789,149462
239768,149489
239727,149437
239730,149451
239785,149456
239892,149473
239900,149487
239886,149494
239766,149405
239742,149391
239751,149368
239666,149394
239696,149389
239737,149428
239745,149413
239795,149452
239864,149487
239851,149437
239772,149411
239702,149453
239714,149435
239744,149403
239664,149383
239771,149482
239799,149547
239877,149501
239959,149546
239837,149513
239863,149510
239922,149471
239888,149504
239918,149518
239959,149533
240054,149538
240043,149562
240013,149500
239930,149533
239928,149509
239928,149515
239957,149532
240069,149497
240134,149500
240187,149610
240252,149583
240278,149506
240181,149454
240233,149471
240326,149478
240372,149437
240382,149484
240349,149502
240391,149554
240487,149543
240503,149534
240341,149541
240288,149546
240342,149520
240349,149530
240392,149574
240512,149556
240553,149566
240617,149604
240621,149603
240584,149577
240429,149501
240474,149609
240527,149567
240499,149555
240522,149546
240591,149635
240658,149671
240729,149652
240820,149656
240730,149668
240678,149637
240825,149666
240818,149654
240804,149643
240816,149687
240935,149665
240929,149702
240890,149698
240847,149694
240937,149694
240959,149660
240920,149658
240955,149671
241004,149744
241047,149764
241080,149742
241087,149665
240988,149703
241008,149732
240957,149665
240945,149651
240977,149691
241054,149693
241125,149728
241154,149737
241141,149714
241130,149692
241078,149635
241048,149677
241064,149654
241114,149682
241165,149694
241184,149704
241282,149713
241316,149691
241306,149737
241202,149693
241215,149642
241194,149638
241206,149691
241276,149654
241265,149687
241249,149708
241360,149682
241256,149686
241189,149661
241194,149631
241211,149686
241239,149665
241260,149680
241319,149720
241366,149658
241282,149687
241233,149613
241251,149622
241231,149612
241282,149642
241301,149718
241343,149668
241351,149682
241319,149708
241194,149699
241219,149645
241171,149688
241145,149677
241147,149708
241299,149724
241297,149784
241343,149766
241297,149794
241270,149773
241211,149764
241261,149764
241206,149791
241267,149787
241322,149809
241367,149810
241428,149804
241482,149789
241520,149908
241470,149837
241366,149815
241385,149803
