Red,IR
107108,71227
107050,71252
107012,71214
107089,71220
107064,71208
107054,71229
107103,71267
107088,71259
107079,71264
107074,71282
107128,71305
107156,71262
107097,71275
107107,71298
107106,71329
107057,71257
107127,71313
107123,71317
107142,71309
107094,71277
107091,71300
107095,71284
107058,71219
107029,71297
107043,71275
107033,71260
107011,71252
107082,71274
107106,71265
107075,71264
107097,71270
107096,71290
107098,71245
107026,71246
107019,71248
107102,71247
107031,71238
107075,71270
107076,71258
107083,71256
107072,71265
107091,71294
107134,71315
107070,71285
107062,71285
107104,71280
107056,71291
107056,71275
107062,71264
107086,71288
107063,71302
107068,71339
107115,71340
107137,71322
107107,71279
107038,71257
107010,71298
107028,71254
107018,71254
107001,71260
107012,71253
107019,71256
107021,71221
107035,71252
107053,71276
106992,71238
