Red,IR
119114,105596
119231,105635
119493,105725
119720,105739
119810,105786
119928,105813
119257,105006
117779,105105
118728,105359
119014,105457
119222,105553
119511,105608
119707,105654
119822,105676
119921,105711
119524,105009
118303,105159
118819,105330
119208,105390
119415,105484
119717,105517
119820,105602
119970,105639
120054,105673
119854,105122
118021,104999
118916,105314
119248,105333
119455,105414
119622,105498
119895,105613
120023,105569
120140,105636
119971,105191
118848,105273
119347,105416
119688,105443
119782,105510
120116,105552
120185,105595
120320,105671
120382,105628
119882,105358
119892,105413
120044,105502
120249,105491
120328,105560
120418,105557
120474,105620
120511,105649
120594,105619
119926,105240
120072,105480
120224,105512
120260,105508
120433,105534
120524,105572
120625,105604
120630,105478
119733,105231
120212,105409
120321,105522
120401,105507
120461,105541
120588,105552
120705,105564
120681,105491
120130,105274
120320,105408
120467,105478
120482,105382
120575,105497
120673,105514
120728,105520
120804,105387
120119,105294
120422,105426
120582,105442
120592,105434
120687,105499
120782,105520
120847,105551
120883,105433
120111,105207
120446,105403
120612,105456
120707,105440
120740,105480
120913,105525
120967,105557
120998,105515
120999,105462
120176,105266
120573,105353
120751,105400
120704,105414
120908,105413
120896,105435
120981,105464
120995,105462
121022,105397
120454,105190
120665,105311
120795,105356
120804,105311
120765,105373
120956,105397
120970,105415
121019,105402
120947,105153
120369,105188
120673,105223
120713,105226
120763,105285
120887,105316
120937,105323
121030,105289
120986,105324
120615,104959
120292,105135
120686,105187
120734,105146
120756,105237
120845,105234
120962,105246
120985,105250
121061,105261
120869,104934
120358,105092
120663,105143
120745,105115
120772,105124
120922,105233
121008,105194
121047,105214
121123,105149
120585,105047
120767,105116
120968,105148
120924,105131
121000,105159
121061,105142
121060,105157
121105,105118
120665,104801
120404,104948
120717,105003
120807,105000
120855,105056
120950,105064
120997,105084
121018,105092
121090,105083
120485,104690
120611,104957
120775,104954
120797,105000
120872,105023
121038,105051
121035,105065
121083,105064
120985,104705
120278,104883
120623,104845
120734,104893
120796,104943
120959,104956
121022,104987
121071,104977
121102,105032
120871,104593
119687,104637
120522,104838
120700,104814
120786,104872
120900,104950
121021,104934
120983,104958
121159,105017
121170,105047
120291,104583
120324,104874
120997,105040
121034,104954
121112,105019
121154,105048
121275,105057
121270,105088
121356,105088
121330,104876
120362,104814
120790,104833
120998,104946
120957,104905
121097,104953
121166,104988
121296,105032
121243,105009
121406,105038
121029,104605
120661,104841
120955,104845
121034,104884
121097,104880
121256,104965
121337,104923
121353,104976
121370,105016
121458,104861
120519,104653
120981,104856
121111,104813
121062,104873
121220,104837
121312,104932
121329,104909
121417,104934
121355,104779
120309,104669
120878,104745
121059,104750
121014,104750
121163,104832
121233,104823
121317,104851
121398,104874
121444,104736
120720,104611
121088,104742
121169,104762
121149,104760
121226,104764
121372,104869
121395,104807
121452,104874
121480,104852
120858,104566
120961,104709
121228,104743
121149,104712
121257,104737
121311,104758
121424,104823
121443,104787
121354,104553
120553,104528
121069,104638
121171,104651
121196,104672
121255,104728
121378,104744
121393,104705
121465,104776
121466,104655
119975,104406
120774,104538
121091,104557
121048,104617
121222,104663
121273,104680
121347,104673
121366,104707
121279,104369
120082,104353
120944,104518
120988,104500
121034,104534
121169,104581
121262,104619
121318,104610
121391,104599
121142,104249
120473,104386
120885,104440
120999,104417
121063,104472
121160,104539
121272,104551
121331,104575
121403,104595
121059,104078
119990,104281
120851,104406
121036,104403
121043,104456
121234,104481
121266,104540
121372,104521
121404,104515
120878,104123
120836,104326
121089,104431
121063,104403
121148,104443
121290,104480
121377,104453
121411,104484
120916,104099
120896,104357
121124,104349
121091,104407
121201,104379
121348,104445
121407,104473
121441,104384
120722,103967
120797,104256
121024,104303
121037,104286
121120,104300
121277,104354
121340,104399
121370,104341
120515,103717
120039,104060
120731,104209
120877,104180
120989,104276
121198,104301
121263,104347
121373,104317
121426,104316
119346,103722
120243,104034
120909,104179
120946,104154
121104,104214
121206,104255
121238,104235
