Red,IR
233678,136375
234126,136336
234148,136296
234168,136293
233882,136252
234142,136218
234317,135746
234012,135828
233909,135392
233954,135321
233934,135494
233910,135863
234152,136317
234090,136305
234116,136261
234142,136236
233800,135975
233819,135761
233930,135997
233965,135922
233942,136010
234038,136011
233972,135874
233800,135742
233739,135541
233686,135434
233640,135548
233696,135531
233683,135392
233675,135389
233699,135379
233537,135427
233393,135389
233430,135336
233347,135368
233421,135370
233450,135400
233517,135460
233492,135323
233495,135301
233348,135257
233256,135252
233285,135195
233189,135223
233253,135185
233184,135167
233234,135203
233239,135260
233280,135223
233173,135155
233095,135134
233052,135096
233025,135092
232996,135048
233046,135036
232942,135033
233030,135051
232877,135081
232887,135100
232896,135113
232926,135228
232971,135212
233012,135236
233061,135283
232956,135296
232879,135318
232945,135339
232924,135405
232911,135404
232969,135394
233023,135438
233056,135443
233060,135454
232915,135409
232951,135410
232864,135419
232875,135464
232966,135470
233034,135530
233056,135493
233069,135513
232979,135490
232866,135437
232845,135395
232871,135399
232846,135348
232897,135350
232919,135422
232967,135455
232989,135354
232831,135361
232816,135336
232840,135406
232805,135376
232872,135432
232883,135444
233028,135502
232927,135446
232859,135429
232852,135403
232841,135389
232820,135309
232839,135356
232913,135320
233049,135408
232895,135420
232891,135460
232882,135436
232884,135493
232926,135519
233021,135560
233042,135538
233043,135552
232990,135563
233015,135561
233021,135574
233027,135657
233059,135743
233153,135799
233148,135743
232961,135767
232979,135658
232911,135675
232939,135671
232945,135646
232988,135686
233058,135706
233060,135722
232941,135660
232899,135621
232890,135675
232857,135609
232908,135640
232910,135680
233010,135680
233004,135698
233112,135672
233111,135683
232909,135644
232904,135662
232923,135679
232910,135660
232973,135692
233000,135677
233060,135682
233080,135747
233234,135778
233206,135719
233071,135734
233069,135704
233092,135702
233049,135705
233104,135728
233134,135734
233219,135767
233229,135766
233301,135843
233304,135773
233195,135785
233209,135751
233277,135772
233238,135746
233257,135789
233329,135777
233377,135800
233376,135833
233475,135825
233301,135746
233318,135733
233333,135713
233291,135710
233316,135715
233341,135766
233367,135810
233422,135761
233412,135733
233304,135755
233295,135753
233323,135745
233297,135672
233336,135698
233343,135742
233407,135734
233385,135745
233503,135726
233325,135691
233324,135733
233371,135698
233305,135707
233333,135695
233393,135680
233394,135758
233444,135729
233394,135707
233307,135682
233353,135702
233355,135691
233299,135682
233335,135711
233422,135682
233420,135710
233393,135679
233308,135624
233192,135633
233302,135633
233266,135638
233228,135667
233249,135667
233299,135670
233333,135701
233280,135635
233159,135633
233147,135618
233200,135628
233117,135610
233123,135585
233158,135587
233177,135573
233171,135604
233043,135530
232949,135512
232965,135498
232895,135498
232939,135474
232940,135460
232943,135469
232941,135424
232881,135424
232726,135369
232726,135361
232657,135377
232668,135342
232660,135288
232616,135309
232620,135329
232624,135263
232516,135272
232420,135267
232436,135281
232344,135255
232363,135280
232342,135342
232397,135328
232430,135403
232460,135364
232441,135341
232206,135314
232292,135327
232176,135325
232215,135290
232206,135269
232269,135270
232305,135300
232359,135367
232327,135317
232148,135320
232195,135291
