Red,IR
242231,146487
242313,147076
242384,147255
242517,147530
242489,147647
242425,147863
242333,148183
242536,148717
242709,149083
242909,149738
243204,149928
243426,150209
243581,150303
243704,150455
243800,150470
243954,150712
244167,150830
244332,151043
244475,151081
244588,151306
244663,151353
244813,151463
244980,151545
245055,151648
245030,151758
245240,151875
245214,151905
245271,152144
245404,152192
245473,152322
245439,152415
245588,152551
245598,152551
245636,152575
245682,152574
245706,152646
245683,152678
245775,152774
245812,152827
245777,152972
245842,152990
245904,153086
245825,153115
245895,153154
245840,153185
245796,153235
245665,153361
245715,153533
245749,153675
245859,153684
246017,153645
246004,153555
245997,153512
246048,153503
246036,153495
246078,153434
246161,153432
246091,153467
246217,153448
246293,153444
246224,153400
246172,153366
246157,153347
246158,153447
246163,153394
246221,153482
246280,153452
246295,153442
246148,153414
246064,153437
246170,153405
246060,153478
246094,153512
246084,153553
246158,153539
246170,153491
246134,153498
246060,153509
246048,153527
246031,153543
246041,153587
246115,153626
246154,153675
246161,153760
246095,153827
246207,153739
246249,153693
246164,153663
246231,153668
246235,153727
246201,153743
246220,153724
246118,153714
246137,153670
246094,153668
246074,153698
246090,153724
246128,153666
246135,153682
246183,153803
246209,153744
246185,153806
246106,153766
245977,153780
246094,153755
245963,153799
245965,153817
246053,153831
246012,153909
246043,153949
246147,153981
246184,153963
246059,153981
245909,154025
246026,154003
246032,154072
246014,154079
246114,154125
246214,154120
246247,154176
246253,154188
246306,154184
246199,154147
246216,154164
246283,154156
246277,154138
246226,154164
246302,154158
246385,154196
246371,154154
246366,154182
246440,154180
246348,154148
246219,154160
246280,154200
246260,154196
246235,154186
246290,154068
246282,154171
246348,154198
246401,154195
246395,154226
246312,154194
246184,154155
246196,154184
246145,154173
246065,154203
246104,154184
246130,154272
246227,154254
246296,154390
246163,154324
246081,154313
246160,154281
246148,154291
246085,154258
246164,154271
246225,154321
246234,154305
246188,154315
246086,154297
246074,154270
245949,154283
246070,154273
246044,154245
246089,154291
246166,154269
246052,154245
245948,154172
245806,154223
245818,154142
245800,154169
245797,154177
245886,154201
245909,154229
246032,154218
245861,154265
245778,154223
245826,154189
245838,154186
245752,154156
245849,154220
245906,154263
246052,154279
246112,154303
246082,154308
245955,154235
245998,154293
246138,154310
246257,154272
246105,154288
246185,154323
246242,154325
246318,154300
246206,154287
246283,154279
246156,154241
246118,154235
246114,154204
246102,154177
246073,154225
246132,154208
246142,154220
246193,154207
246195,154188
246173,154203
246074,154148
246085,154159
246106,154161
246039,154140
246089,154226
246179,154234
246152,154222
246233,154305
246242,154333
246213,154301
246275,154307
246408,154267
246351,154310
246327,154285
246383,154309
246375,154251
246462,154273
246334,154270
246376,154261
246377,154250
246372,154266
246418,154341
246489,154375
246612,154413
246652,154422
246616,154387
246704,154402
246647,154424
246736,154443
246818,154453
246810,154511
246945,154525
247017,154468
246935,154481
246965,154495
247047,154543
247082,154542
247145,154569
247080,154618
247210,154694
247299,154701
247442,154785
247476,154779
247354,154860
247357,154894
247456,154875
247502,154915
247589,154978
247667,154968
247635,155025
247668,154978
247702,155020
247609,155013
247522,155136
247579,155119
247699,155125
247605,155115
247744,155175
247754,155202
247823,155253
247936,155190
247922,155231
247833,155233
247825,155247
247847,155234
247916,155287
247831,155288
247946,155271
247902,155274
247881,155310
247984,155364
247978,155307
247932,155342
247983,155283
247906,155309
247935,155351
248094,155358
248109,155355
248081,155370
248178,155407
248201,155413
248177,155436
248233,155422
248274,155419
248383,155463
248258,155452
248424,155494
248425,155485
248472,155488
248538,155514
248472,155451
248432,155511
248498,155469
248465,155470
248499,155508
248555,155503
248579,155457
248559,155473
248592,155487
248493,155527
248467,155465
248532,155538
248537,155491
248471,155525
248506,155557
248639,155520
248656,155452
248508,155472
248475,155446
248544,155501
248599,155423
248546,155451
248567,155511
248642,155533
248586,155534
248703,155548
248598,155518
248576,155490
248593,155534
248666,155467
248702,155526
248650,155506
248663,155548
248708,155561
248641,155546
248573,155512
248574,155542
248565,155593
248602,155533
248647,155587
248679,155570
248752,155578
248699,155569
248627,155557
248544,155587
248540,155549
248516,155577
248527,155560
248556,155630
248614,155612
248538,155635
248718,155622
248638,155640
248557,155612
248496,155633
248618,155577
248607,155621
248659,155724
248685,155685
248648,155696
248745,155680
248635,155658
248580,155701
248568,155695
248583,155658
248567,155713
248628,155799
248730,155760
248637,155730
248584,155745
248643,155769
248632,155774
248612,155804
248614,155805
248673,155836
248695,155900
248633,155833
248570,155813
248666,155833
248680,155816
248564,155866
248600,155863
248718,155824
248670,155825
248559,155859
248580,155830
248505,155871
248513,155894
248506,155894
248627,155931
248676,155900
248578,155867
248528,155878
248502,155855
248549,155860
248429,155880
248602,155886
248519,155894
248584,155895
248422,155889
248357,155872
248357,155912
248405,155819
248398,155897
248409,155902
248534,155948
248465,155962
248620,155983
248497,155908
248415,155931
248359,155968
248386,155947
248357,155952
248440,155970
248558,155969
248523,156010
248562,156001
248559,156026
248464,155947
248391,155972
248325,155980
248343,155984
248308,156006
248411,156043
248429,156024
248561,156067
248580,156057
248475,155997
248387,156060
248395,156064
248390,156023
248372,156004
248415,156076
248472,156090
248566,156075
248655,156143
248731,156101
248570,156129
248517,156149
248573,156090
248516,156112
248530,156119
248632,156131
248697,156180
248664,156181
248797,156195
248690,156129
248566,156136
248607,156150
248610,156148
248582,156168
248665,156154
248713,156182
248795,156161
248829,156221
248791,156145
248685,156158
248721,156127
248732,156106
248717,156110
248778,156144
248812,156168
248828,156132
248782,156164
248690,156128
248686,156120
248638,156133
248751,156136
248681,156172
248810,156173
248840,156204
248719,156171
248672,156207
248767,156216
248721,156201
248726,156225
248789,156231
248909,156246
248815,156177
248712,156174
248784,156156
248755,156188
248759,156280
248812,156232
248833,156215
248753,156177
248672,156166
248682,156165
248670,156153
248703,156187
248771,156172
248787,156239
248800,156190
248645,156176
248568,156175
248568,156162
248519,156194
248527,156194
248444,156313
248615,156263
248667,156329
248711,156275
248545,156258
248432,156219
248462,156245
248479,156216
248478,156220
248500,156263
248544,156264
248616,156380
248681,156323
248593,156314
248493,156297
248515,156336
248507,156283
248478,156333
248514,156346
248625,156304
248676,156369
248685,156380
248803,156372
248623,156365
248619,156338
248612,156339
248575,156351
248565,156348
248603,156412
248678,156429
248704,156427
248740,156449
248829,156431
248686,156403
248627,156423
248672,156397
248652,156403
248686,156371
248725,156446
248737,156426
248812,156463
248829,156504
248847,156471
248735,156448
248739,156411
248791,156407
248789,156470
248840,156488
248895,156530
248915,156497
249010,156536
249083,156543
248987,156449
248950,156480
248913,156494
248973,156517
248935,156482
248953,156514
249054,156560
249076,156576
249166,156529
249104,156530
249013,156497
249041,156479
249092,156488
249034,156482
249048,156491
249071,156529
249111,156545
249125,156495
249028,156541
249024,156507
249070,156533
248951,156555
249038,156543
249073,156543
249141,156509
249083,156481
248976,156467
248980,156486
249006,156394
248972,156437
248993,156439
249129,156431
249068,156421
248924,156408
248908,156383
248894,156306
248838,156411
248863,156401
248935,156413
248993,156435
249113,156459
248921,156448
248921,156423
248916,156427
248936,156389
248989,156445
249027,156486
249073,156472
249099,156499
249169,156458
249138,156452
248969,156429
248965,156431
248944,156428
248973,156367
248974,156387
249060,156448
249148,156482
249132,156520
249282,156537
249163,156530
249002,156480
248982,156507
249032,156534
249023,156528
249057,156574
249151,156560
249212,156623
249254,156647
249319,156660
249187,156664
249118,156629
249153,156608
249074,156634
249147,156680
249253,156686
249285,156672
249314,156696
249410,156721
249316,156639
249285,156671
249317,156678
249238,156794
249150,156998
249366,156979
249493,156915
249465,156928
249371,157031
249334,156923
249417,156984
249456,156959
249516,156875
249424,156955
249547,156912
249559,156920
249522,156856
249442,156898
249438,156821
249510,156860
249458,156877
249548,156902
249449,157009
249573,156960
249577,156986
249498,157025
249502,157013
249594,156912
249517,156955
249546,156941
249425,156966
249241,157026
249443,157126
249571,157142
249729,157116
249512,157197
249622,157186
249619,157194
249622,157167
249711,157167
249787,157127
249744,157129
249795,157159
249915,157099
249914,157066
249741,157133
249725,157051
249666,157086
249715,157078
249759,157061
249848,157041
249856,157072
249890,157105
249948,157056
249824,157005
249804,156966
249805,156944
249708,156944
249809,156932
249796,156948
249886,156904
249917,156996
249969,156984
249802,156927
249669,156936
249778,156947
249761,156913
249766,156924
249806,156967
249921,156917
249886,156943
249779,156967
249740,156927
249692,156925
249774,156963
249769,156965
249853,156984
249953,156957
249868,156935
249838,156911
249853,156946
249829,156899
249835,156873
249886,156907
249987,156874
249918,156877
249766,156813
249824,156802
249796,156831
249756,156852
249797,156844
249811,156837
249746,156799
249727,156821
249703,156811
249681,156792
249710,156809
249736,156776
249766,156834
249834,156827
249671,156787
249558,156746
249595,156758
249627,156744
249622,156766
249651,156811
249719,156782
249794,156831
249782,156803
249704,156748
249560,156726
249604,156726
249605,156715
249645,156725
249729,156842
249731,156784
249855,156828
249928,156866
249811,156810
249683,156789
249748,156812
249725,156806
249761,156798
249801,156841
249871,156867
249941,156869
249992,156917
250055,156891
249942,156872
249825,156848
249774,156857
249872,156834
249943,156839
249932,156894
249961,156899
250031,156907
250123,156934
250185,156937
250022,156897
250041,156916
250063,156898
250013,156896
250100,156954
250152,156977
250235,156959
250322,157007
250307,157004
250196,157024
250330,156971
250249,156935
250277,157036
250276,157036
250394,157007
250420,157043
250420,157043
250352,157025
250328,157022
250314,157053
250302,157076
250373,157057
250386,157085
250427,157084
250458,157056
250383,157055
250406,156945
250375,157020
250328,157034
250362,156984
250411,156983
250517,156910
250370,156879
250200,156929
250269,156975
250256,156931
250376,156928
250340,156994
250463,157008
250319,156984
250197,157053
250186,157096
250333,157061
250405,157013
250406,156941
250377,157001
250379,157089
250441,157013
250394,157002
250423,156987
250419,156957
250484,156975
250509,156967
250540,157035
250292,156940
250281,156935
250208,156911
250257,156932
250261,156921
250293,156943
250476,156946
250343,156890
250179,156862
250149,156934
250176,156868
250159,156901
250180,156921
250334,156879
250377,156922
250280,156897
250178,156896
250166,156870
250164,156898
250150,156921
250278,156870
250309,156873
250386,156915
250449,156928
250360,156872
250299,156861
250311,156877
250319,156846
250307,156886
250384,156942
250501,156973
250540,156958
250629,156985
250581,157017
250497,156918
250580,156944
250585,157019
250649,157013
250713,156992
250739,157050
250844,157061
250863,157069
250806,157083
250727,157053
250774,157133
250714,157079
250727,157116
250733,157138
250823,157159
250899,157187
251010,157222
250980,157225
250851,157259
250884,157260
250859,157242
250901,157233
251007,157276
250975,157309
251133,157296
251219,157319
250933,157284
251021,157304
250960,157285
251050,157311
251030,157376
251095,157393
251195,157405
251250,157368
251127,157390
251093,157420
251091,157378
251025,157403
251035,157404
251163,157442
251197,157415
251141,157431
251017,157395
251025,157430
250998,157422
250990,157444
251078,157444
251149,157454
251148,157458
251081,157427
250982,157461
250997,157378
250978,157426
250989,157423
251031,157471
250977,157459
250995,157422
250872,157418
250912,157364
250869,157479
250902,157469
250925,157443
250906,157458
251028,157464
250848,157435
250892,157399
250855,157415
250912,157404
250962,157386
250992,157414
251046,157411
250829,157412
250804,157354
250819,157344
250742,157355
250804,157368
250804,157441
250860,157377
250930,157385
250746,157355
250699,157334
250593,157315
250547,157324
250605,157327
250734,157330
250751,157396
250798,157405
250870,157417
250773,157388
250711,157387
250620,157332
250604,157328
250599,157361
250663,157323
250743,157342
250619,157404
250702,157423
250805,157465
250823,157404
250783,157370
250696,157395
250680,157382
250670,157441
250656,157396
250759,157424
250806,157441
250897,157475
250884,157498
250965,157459
250864,157428
250802,157451
250845,157457
250825,157434
250850,157447
250849,157453
250967,157488
250989,157491
251083,157483
251172,157488
251027,157485
251027,157411
251050,157409
250993,157376
251054,157395
251008,157437
250882,157527
250923,157606
251093,157561
251076,157555
250988,157511
251136,157476
251086,157447
251060,157416
251073,157474
251056,157518
251178,157501
251072,157522
251028,157465
251057,157486
251099,157482
251142,157487
251043,157493
251084,157531
251194,157485
251098,157424
251026,157481
251010,157506
251110,157409
251068,157464
251141,157488
251248,157504
251300,157515
251306,157496
251321,157421
251189,157422
251260,157463
251181,157437
251232,157499
251246,157501
251293,157540
251356,157518
251215,157443
251063,157465
250993,157464
250998,157445
250931,157451
251034,157461
251069,157459
251092,157506
251159,157521
250930,157448
250888,157468
250918,157475
250887,157455
250947,157455
250910,157477
250997,157473
251040,157491
250952,157444
250827,157493
250834,157405
250872,157394
250754,157433
250882,157475
250910,157478
251001,157506
250954,157483
250862,157421
250891,157433
250864,157493
250860,157506
250896,157477
250999,157508
251086,157498
251118,157552
251200,157617
251351,157653
251356,157630
251417,157715
251489,157753
251647,157791
251552,157828
251520,157812
251569,157832
251584,157828
251640,157888
251686,157928
251772,157925
251831,157959
251695,157946
251654,157912
251646,157917
251665,157906
251651,157941
251767,157919
251806,157996
251881,157989
251815,157951
251725,157959
251700,157957
251705,157955
251706,157926
251819,157971
251858,158036
251956,158000
251981,158023
251832,157996
251896,158002
251900,158041
251908,158041
251975,158044
252037,158044
252090,158105
252123,158118
252201,158092
252065,158084
252067,158114
252107,158142
252098,158156
252122,158113
252203,158179
252241,158157
252305,158205
252322,158221
252206,158152
252192,158192
252187,158093
252176,158193
252187,158213
252235,158189
252285,158223
252323,158221
252466,158211
252381,158162
252287,158174
252233,158184
252235,158131
252240,158178
252188,158216
252331,158253
252413,158232
252433,158231
252393,158222
252277,158199
252252,158224
252218,158269
252137,158272
252181,158296
252167,158317
252251,158345
252189,158320
252126,158294
252088,158274
252099,158354
252112,158280
252102,158301
252126,158314
252239,158337
252076,158278
252004,158243
251973,158213
251998,158220
251992,158178
251926,158212
251957,158242
252093,158260
252053,158215
251911,158180
251852,158179
251836,158118
251818,158124
251776,158143
251869,158179
251870,158179
251952,158207
252011,158192
251740,158184
251678,158125
251663,158166
251652,158143
251752,158163
251696,158172
251807,158206
251834,158259
251933,158220
251770,158248
251743,158199
251767,158170
251737,158198
251822,158192
251877,158211
251934,158256
251981,158327
252067,158306
251990,158263
251880,158305
251911,158274
251961,158249
251930,158296
252001,158312
252070,158337
252126,158327
252177,158363
252080,158379
252097,158361
252099,158403
252150,158411
252255,158416
252329,158428
252366,158438
252419,158436
252315,158387
252312,158414
252316,158450
252321,158457
252374,158435
252436,158490
252473,158511
252553,158503
252535,158458
252401,158468
252397,158434
