Red,IR
233928,140396
233971,140562
234096,140685
234201,140754
234209,140943
234433,141210
234606,141491
234843,141731
234974,141873
235169,142009
235167,142095
235170,142113
235269,142193
235382,142289
235418,142412
235420,142375
235426,142385
235445,142370
235455,142387
235483,142497
235441,142525
235498,142513
235598,142614
235625,142637
235604,142623
235602,142591
235503,142630
235598,142657
235648,142709
235651,142673
235671,142701
235597,142681
235628,142708
235678,142704
235699,142730
235698,142681
235720,142811
235814,142907
235819,142949
235886,143024
235858,143024
235855,143008
235900,143038
235843,142997
235875,143014
235987,143038
235841,143003
235724,142976
235847,142972
235741,142881
235717,142953
235752,142916
235746,142875
235727,142876
235639,142796
235479,142770
235438,142752
235395,142650
235316,142698
235333,142635
235309,142683
235296,142687
235226,142597
234960,142475
234844,142569
235012,142662
235032,142670
235139,142784
235109,142799
235189,142850
235139,142843
235078,142691
235046,142714
235060,142843
235119,142826
235238,142931
235321,143048
235244,142961
235121,142938
235023,142890
235101,142925
235172,142904
235224,143026
235469,143174
235591,143242
235674,143328
235523,143315
235565,143440
235626,143506
235668,143452
235638,143510
235777,143625
235828,143680
235981,143819
235987,143924
235889,143867
235820,143908
235833,144028
236006,144059
236066,144183
236081,144257
236274,144352
236215,144405
236424,144513
236335,144533
236273,144615
236344,144629
236384,144623
236374,144729
236498,144832
236589,144927
236754,145085
236776,145075
236713,145111
236710,145254
236846,145247
236818,145256
236782,145250
236808,145305
236940,145361
236946,145379
236859,145372
236887,145431
236973,145459
236943,145431
237056,145561
237079,145535
237172,145528
237108,145608
237097,145532
237138,145606
237176,145633
237170,145636
237300,145634
237285,145647
237390,145652
237318,145635
237220,145558
237151,145549
237173,145569
237088,145568
237219,145605
237229,145674
237291,145701
237337,145704
237248,145730
237190,145734
237225,145664
237166,145699
237168,145733
237289,145757
237263,145745
237281,145831
237518,145880
237367,145854
237311,145853
237321,145830
237297,145810
237241,145740
237359,145774
237433,145643
237402,145348
237484,145428
237220,145504
237391,145360
237135,145205
237103,145203
237178,145135
237231,145085
237278,145092
237208,145124
