Red,IR
237698,149636
237671,149798
237627,149889
237490,150384
237683,150458
237797,150514
237759,150628
237460,150786
237428,150977
237384,151204
237427,151300
237409,151383
237465,151429
237486,151520
237436,151603
237462,151786
237407,151859
237479,151938
237498,152025
237543,152097
237590,152115
237647,152255
237678,152281
237717,152354
237679,152448
237658,152547
237604,152569
237652,152712
237760,152800
237702,152894
237805,152924
237830,152997
237874,153065
237876,153140
237888,153175
237960,153190
237989,153296
237972,153284
238005,153322
237989,153398
237947,153402
237913,153426
237974,153465
237902,153514
237917,153541
238017,153557
238038,153630
238044,153627
238102,153697
238123,153691
238153,153737
238185,153778
238216,153776
238235,153918
238235,153881
238241,153951
238251,153950
238372,153997
238329,154026
238479,154067
238414,154074
238386,154074
238404,154079
238447,154023
238386,154096
238406,154045
238407,154043
238415,154123
238364,154079
238298,154179
238341,154160
238374,154170
238332,154229
238387,154232
238325,154240
238318,154259
238342,154266
238411,154259
238352,154350
238298,154318
238285,154352
238334,154337
238286,154372
238392,154377
238353,154400
238414,154402
238326,154392
238372,154431
238386,154426
238367,154441
238414,154514
238390,154475
238338,154457
238354,154524
238298,154496
238266,154519
238435,154561
238342,154550
238307,154526
238296,154567
238329,154580
238319,154568
238316,154537
238364,154592
238313,154537
238275,154577
238264,154569
238222,154589
238359,154648
238341,154620
238464,154654
238296,154621
238336,154623
238331,154617
238295,154640
238301,154629
238331,154652
238445,154671
238456,154631
238367,154551
238495,154407
238273,154408
238342,154405
238315,154413
238324,154391
238219,154357
238168,154233
238161,154204
238068,154102
237990,154121
238000,154071
237962,154038
238008,154014
237731,153968
237712,153958
237683,153937
237657,153906
237577,153887
237600,153846
237592,153871
237560,153852
237257,153904
237299,153921
237188,153932
237284,153937
237202,153998
237313,153993
237265,154056
237221,154001
237103,154032
237102,154037
237015,154047
237078,154072
237184,154081
237191,154122
237150,154102
237073,154079
237063,154076
237066,154075
237049,154084
237085,154108
237144,154125
237195,154191
237058,154079
237049,154121
237123,154113
237059,154076
237110,154051
237148,154061
237214,154062
237218,154034
236920,153958
236899,153957
236888,153907
236898,153971
237010,153930
237007,153981
237141,153935
237123,153932
236877,153945
236831,153982
236824,153998
236707,154004
236719,154025
236752,154064
236778,154133
236803,154111
236554,154108
236555,154083
236547,154096
236526,154079
236598,154143
236608,154129
236665,154136
236692,154144
236490,154090
236498,154036
236531,154131
236458,154047
236514,154120
236562,154138
236631,154182
236870,154224
236619,154214
236697,154258
236753,154283
236690,154274
236733,154266
236722,154325
236745,154286
236751,154328
236544,154223
236502,154226
236606,154274
236508,154239
236613,154304
236638,154326
236630,154327
236651,154308
236392,154248
236336,154197
236302,154253
236254,154220
236282,154311
236425,154344
